DEBUG 08-12 10:18:19,625 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  08-12 10:18:19,628 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /Applications/PGDSpider_2.1.1.3/spider.conf.xml
DEBUG 08-12 10:18:22,000 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 08-12 10:18:22,000 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 08-12 10:18:22,130 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 08-12 10:18:22,156 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 08-12 10:18:22,185 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 08-12 10:18:22,200 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 08-12 10:18:22,200 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 08-12 10:18:22,206 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 08-12 10:18:22,209 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 08-12 10:18:22,211 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 08-12 10:18:22,211 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 08-12 10:18:22,213 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 08-12 10:18:22,215 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 08-12 10:18:22,217 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 08-12 10:18:22,221 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 08-12 10:18:22,222 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 08-12 10:18:22,223 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 08-12 10:18:22,223 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 08-12 10:18:22,225 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 08-12 10:18:22,226 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 08-12 10:18:22,229 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 08-12 10:18:22,230 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 08-12 10:18:22,232 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 08-12 10:18:22,232 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 08-12 10:18:22,234 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 08-12 10:18:22,235 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 08-12 10:18:22,237 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 08-12 10:18:22,238 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 08-12 10:18:22,241 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 08-12 10:18:22,241 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 08-12 10:18:22,242 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 08-12 10:18:22,244 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 08-12 10:18:22,246 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 08-12 10:18:22,248 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 08-12 10:18:22,248 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 08-12 10:18:22,250 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 08-12 10:18:22,253 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 08-12 10:18:22,254 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 08-12 10:18:22,256 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 08-12 10:18:22,258 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 08-12 10:18:22,260 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 08-12 10:18:22,260 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 08-12 10:18:22,263 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 08-12 10:18:22,277 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 08-12 10:18:22,343 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 08-12 10:18:22,368 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 08-12 10:18:22,368 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 08-12 10:18:22,378 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 08-12 10:18:22,416 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 08-12 10:18:22,419 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 08-12 10:18:22,420 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
