#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:const" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:const" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:const" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:const" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:const">
#                    <taxonset id="TaxonSet.const" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:const" jeffreys="true" parameter="@bPopSizes.t:const" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:const" name="distribution">
#            <parameter id="clockRate.c:const" name="x">7.9E-4</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:const" name="distribution">
#            <parameter id="gammaShape.s:const" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="Sample_1.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:const">
#            <taxonset id="Sample_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="1_1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1_2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1_3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1_4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1_5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1_6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1_7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1_8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1_9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1_10" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@const" id="treeLikelihood.const" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:const">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:const" shape="@gammaShape.s:const" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:const" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:const" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:const" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:const" id="StrictClock.c:const" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	logP(mrca(Sample_1))	mrcatime(Sample_1)	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	clockRate
0	-189.15701409712256	-95.55084127358892	-93.60617282353364	-95.55084127358892	2907.0205453762155	0.0	2907.0205453762155	1.4643970839847071	-65.68252511356883	372.45300597388155	233.714089450742	352.28149478211657	410.64822699160436	2	3	3	1	5.606206718469109E-4
1000	-176.15174453101798	-95.14565437245649	-81.0060901585615	-95.14565437245649	373.4900815406065	0.0	373.4900815406065	1.9946379987503102	-52.5687517747978	185.85857588701833	125.78828125376556	221.06500602870688	735.138065751856	3	3	1	2	0.002936112991316233
2000	-185.9435014043022	-94.04372959888975	-91.89977180541244	-94.04372959888975	810.9467382253279	0.0	810.9467382253279	2.5873377210910466	-60.732557111800446	200.78108072645352	407.6807163203482	948.8310733223379	713.397735605702	1	6	1	1	4.990187670434297E-4
3000	-178.1047233894758	-92.85786360113195	-85.24685978834383	-92.85786360113195	494.90768188371106	0.0	494.90768188371106	2.653282740456733	-57.89573892390435	196.32600830508568	291.2204096959245	306.38851652520697	62.47715835024435	2	3	3	1	0.0012631447170170155
4000	-180.90814900860653	-98.04071673622195	-82.86743227238456	-98.04071673622195	334.3175877796402	0.0	334.3175877796402	2.653282740456733	-54.7338097673786	131.91337826170206	263.92301447384807	489.89873874073396	43.720815118462724	2	3	3	1	0.002714571597025869
5000	-178.0707301804087	-96.68023300322582	-81.3904971771829	-96.68023300322582	382.1038055055784	0.0	382.1038055055784	2.653282740456733	-54.16511617469718	100.9327691563988	145.4133154328166	408.3831403257423	41.76864291801098	2	3	3	1	4.5505023256595437E-4
6000	-187.37386875671555	-97.15570037096425	-90.2181683857513	-97.15570037096425	682.6018340673261	0.0	682.6018340673261	2.0037122138468946	-62.49336959049835	167.70291441252667	396.2610175580719	358.20067703192325	124.19020832067078	2	4	2	1	6.009070969989727E-4
7000	-185.70358822022274	-100.65470448957437	-85.04888373064837	-100.65470448957437	375.3646339869596	0.0	375.3646339869596	1.758548426736259	-57.7734473260053	223.9652924145112	448.51828601827606	284.7078486787183	85.15454384556169	5	1	2	1	0.0014737238820047612
8000	-172.85679235468058	-102.18003299586978	-70.67675935881078	-102.18003299586978	211.82191776026895	0.0	211.82191776026895	1.234272371774836	-49.1487499858829	53.038080678185125	73.28999601800574	88.94297092610267	86.62014014789341	3	3	2	1	0.008039235068957628
9000	-157.44990984253474	-94.95534430045288	-62.494565542081865	-94.95534430045288	57.222063149081606	0.0	57.222063149081606	2.2733914960666097	-41.15761781571121	69.35836661378825	32.94044957822927	44.756807290386845	65.13851150231493	5	1	1	2	0.007695887285769296
10000	-169.4825666300893	-95.19704606449963	-74.28552056558969	-95.19704606449963	113.37190004131357	0.0	113.37190004131357	3.9501500105540006	-48.51650881988662	100.18723027627706	210.00711751708522	38.077912078265186	51.0449892940265	1	2	3	3	0.004615445560076613
11000	-163.20055777216282	-91.49212317761469	-71.70843459454814	-91.49212317761469	121.526903515827	0.0	121.526903515827	3.9501500105540006	-46.52065151576709	66.88399545310844	154.59620265034025	82.97489686164279	43.497997312108794	1	1	2	5	0.003649764583407335
12000	-159.36542051823136	-95.62532141274801	-63.74009910548335	-95.62532141274801	54.31733301313303	0.0	54.31733301313303	3.9501500105540006	-40.535300295883054	60.68005067396682	40.90244989098964	74.18155016724265	39.91150588475334	2	2	2	3	0.012024393976765836
13000	-166.98392504201854	-99.4616322677277	-67.52229277429086	-99.4616322677277	52.58507341320002	0.0	52.58507341320002	3.9501500105540006	-43.8069219131653	101.0248209709846	32.59035824818264	66.75365068103712	31.948402371278902	4	1	3	1	0.005225138156525789
14000	-161.12659673590372	-93.73447442118496	-67.39212231471876	-93.73447442118496	121.40354906132862	0.0	121.40354906132862	3.9501500105540006	-42.270511104576194	48.046429004434295	80.11405721644635	170.41858581725037	18.88016594205816	5	2	1	1	0.005615782232505573
15000	-172.71981155004568	-93.27677396150655	-79.44303758853914	-93.27677396150655	286.2371233402261	0.0	286.2371233402261	3.9501500105540006	-55.14741565396216	63.87375981438343	72.30527487961588	123.87356888185322	10.689168878293897	2	1	5	1	0.0011868621736740306
16000	-164.20645893527836	-96.9206254011234	-67.28583353415496	-96.9206254011234	69.80236485493394	0.0	69.80236485493394	3.9501500105540006	-43.402591807028934	40.55411667881749	69.0671047258549	109.81560269478652	33.03987471812859	3	1	4	1	0.004749046706424905
17000	-161.18856279934272	-93.27196761388701	-67.91659518545569	-93.27196761388701	131.4731995309655	0.0	131.4731995309655	4.095095573580065	-44.38915188642735	68.19698465534601	32.3507945843069	60.8944168940598	63.63942695494218	2	2	2	3	0.0037515519165183873
18000	-160.9854141975062	-94.63831160321973	-66.34710259428645	-94.63831160321973	120.19579941221262	0.0	120.19579941221262	2.193510781216679	-45.02729335318388	26.517436422712485	53.54243484569666	70.64814933428035	70.2162613176302	2	4	1	2	0.007374438845542815
19000	-157.76680202738243	-93.05019792987021	-64.71660409751222	-93.05019792987021	180.23747441353623	0.0	180.23747441353623	2.193510781216679	-44.0063742794286	28.969969875847873	32.7676165040832	53.420949015678566	83.07863867269867	1	3	3	2	0.005193984316675793
20000	-155.37284934359698	-95.13941117975637	-60.23343816384061	-95.13941117975637	122.67797049802012	0.0	122.67797049802012	2.193510781216679	-38.328318675134106	69.79243807060914	26.997131517557143	20.739375420137833	77.51892692726594	1	4	2	2	0.00604570646211661
21000	-154.52297250308536	-95.57878927651888	-58.94418322656647	-95.57878927651888	50.04741006229929	0.0	50.04741006229929	2.193510781216679	-40.8140518734293	22.902613803312775	37.212406794239314	14.862765285614858	19.832921308947373	2	3	1	3	0.009001057304290324
22000	-128.6317510626975	-99.98877402068271	-28.642977042014802	-99.98877402068271	6.016957274879015	0.0	6.016957274879015	2.193510781216679	-18.789478551954954	1.0679097929923316	2.5445220163245414	3.3047549898198123	5.67687868331822	1	2	5	1	0.1870438564318005
23000	-126.55455673266378	-94.85246628406104	-31.702090448602746	-94.85246628406104	16.291781642798405	0.0	16.291781642798405	2.193510781216679	-21.744091303387382	2.381649429795264	2.6326805797118906	0.9540503974458986	3.4728849725138162	4	2	1	2	0.04042862472805047
