gr_K_1	gr_Ksd_1	gr_mean_K	gr_sd_K	gr_tot_K	gr_H_1	gr_Hsd_1	gr_mean_H	gr_sd_H	gr_tot_H	gr_S_1	gr_prS_1	gr_mean_S	gr_sd_S	gr_tot_S	gr_mean_D	gr_sd_D	mean_FS	sd_FS	gr_Pi_1	gr_mean_Pi	gr_sd_Pi	K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	mean_D	sd_D	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
2	0	2	0	40	0.142308	0.070972	0.142308	0	0.142308	1	1	1	0	1	0	0	0	0	0.142308	0.142308	0	2	0	2	0	40	0.142308	0.070972	0.142308	0	0.140506	1	1	1	0	1	0	0	0	0	0.142308	0.142308	0	
37	0	37	0	40	0.996154	0.00660028	0.996154	0	0.285844	2568	2568	2568	0	2568	0	0	0	0	734.047	734.047	0	37	0	37	0	40	0.996154	0.00660028	0.996154	0	0.282226	2568	2568	2568	0	2568	0	0	0	0	734.047	734.047	0	
10	0	10	0	40	0.880769	0.0217681	0.880769	0	0.316619	27	27	27	0	27	0	0	0	0	8.54872	8.54872	0	10	0	10	0	40	0.880769	0.0217681	0.880769	0	0.312611	27	27	27	0	27	0	0	0	0	8.54872	8.54872	0	
4	0	4	0	40	0.467949	0.0778064	0.467949	0	0.18547	3	3	3	0	3	0	0	0	0	0.55641	0.55641	0	4	0	4	0	40	0.467949	0.0778064	0.467949	0	0.183122	3	3	3	0	3	0	0	0	0	0.55641	0.55641	0	
2	0	2	0	40	0.261538	0.0795667	0.261538	0	0.261538	1	1	1	0	1	0	0	0	0	0.261538	0.261538	0	2	0	2	0	40	0.261538	0.0795667	0.261538	0	0.258228	1	1	1	0	1	0	0	0	0	0.261538	0.261538	0	
39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.132226	1878	1878	1878	0	1878	0	0	0	0	248.321	248.321	0	39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.130552	1878	1878	1878	0	1878	0	0	0	0	248.321	248.321	0	
6	0	6	0	40	0.458974	0.0897237	0.458974	0	0.106838	6	6	6	0	6	0	0	0	0	0.641026	0.641026	0	6	0	6	0	40	0.458974	0.0897237	0.458974	0	0.105485	6	6	6	0	6	0	0	0	0	0.641026	0.641026	0	
33	0	33	0	40	0.991026	0.00746077	0.991026	0	0.4101	1324	1324	1324	0	1324	0	0	0	0	542.972	542.972	0	33	0	33	0	40	0.991026	0.00746077	0.991026	0	0.404908	1324	1324	1324	0	1324	0	0	0	0	542.972	542.972	0	
2	0	2	0	40	0.0974359	0.0621214	0.0974359	0	0.0974359	1	1	1	0	1	0	0	0	0	0.0974359	0.0974359	0	2	0	2	0	40	0.0974359	0.0621214	0.0974359	0	0.0962025	1	1	1	0	1	0	0	0	0	0.0974359	0.0974359	0	
40	0	40	0	40	1	0.00559017	1	0	0.277509	2784	2784	2784	0	2784	0	0	0	0	772.585	772.585	0	40	0	40	0	40	1	0.00559017	1	0	0.273996	2784	2784	2784	0	2784	0	0	0	0	772.585	772.585	0	
12	0	12	0	40	0.79359	0.05648	0.79359	0	0.192735	21	21	21	0	21	0	0	0	0	4.04744	4.04744	0	12	0	12	0	40	0.79359	0.05648	0.79359	0	0.190295	21	21	21	0	21	0	0	0	0	4.04744	4.04744	0	
40	0	40	0	40	1	0.00559017	1	0	0.21741	3229	3229	3229	0	3229	0	0	0	0	702.017	702.017	0	40	0	40	0	40	1	0.00559017	1	0	0.214658	3229	3229	3229	0	3229	0	0	0	0	702.017	702.017	0	
39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.262282	2160	2160	2160	0	2160	0	0	0	0	566.528	566.528	0	39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.258962	2160	2160	2160	0	2160	0	0	0	0	566.528	566.528	0	
11	0	11	0	40	0.861538	0.0326167	0.861538	0	0.267949	13	13	13	0	13	0	0	0	0	3.48333	3.48333	0	11	0	11	0	40	0.861538	0.0326167	0.861538	0	0.264557	13	13	13	0	13	0	0	0	0	3.48333	3.48333	0	
40	0	40	0	40	1	0.00559017	1	0	0.259175	5411	5411	5411	0	5411	0	0	0	0	1402.39	1402.39	0	40	0	40	0	40	1	0.00559017	1	0	0.255894	5411	5411	5411	0	5411	0	0	0	0	1402.39	1402.39	0	
32	0	32	0	40	0.987179	0.00893127	0.987179	0	0.386074	720	720	720	0	720	0	0	0	0	277.973	277.973	0	32	0	32	0	40	0.987179	0.00893127	0.987179	0	0.381187	720	720	720	0	720	0	0	0	0	277.973	277.973	0	
5	0	5	0	40	0.684615	0.0520468	0.684615	0	0.223846	5	5	5	0	5	0	0	0	0	1.11923	1.11923	0	5	0	5	0	40	0.684615	0.0520468	0.684615	0	0.221013	5	5	5	0	5	0	0	0	0	1.11923	1.11923	0	
5	0	5	0	40	0.44359	0.0827622	0.44359	0	0.170769	5	5	5	0	5	0	0	0	0	0.853846	0.853846	0	5	0	5	0	40	0.44359	0.0827622	0.44359	0	0.168608	5	5	5	0	5	0	0	0	0	0.853846	0.853846	0	
8	0	8	0	40	0.814103	0.0294418	0.814103	0	0.388403	22	22	22	0	22	0	0	0	0	8.54487	8.54487	0	8	0	8	0	40	0.814103	0.0294418	0.814103	0	0.383487	22	22	22	0	22	0	0	0	0	8.54487	8.54487	0	
33	0	33	0	40	0.988462	0.00883917	0.988462	0	0.246288	487	487	487	0	487	0	0	0	0	119.942	119.942	0	33	0	33	0	40	0.988462	0.00883917	0.988462	0	0.243171	487	487	487	0	487	0	0	0	0	119.942	119.942	0	
5	0	5	0	40	0.698718	0.0436302	0.698718	0	0.341923	10	10	10	0	10	0	0	0	0	3.41923	3.41923	0	5	0	5	0	40	0.698718	0.0436302	0.698718	0	0.337595	10	10	10	0	10	0	0	0	0	3.41923	3.41923	0	
36	0	36	0	40	0.991026	0.00960216	0.991026	0	0.194583	2176	2176	2176	0	2176	0	0	0	0	423.412	423.412	0	36	0	36	0	40	0.991026	0.00960216	0.991026	0	0.192119	2176	2176	2176	0	2176	0	0	0	0	423.412	423.412	0	
33	0	33	0	40	0.989744	0.00818848	0.989744	0	0.382462	309	309	309	0	309	0	0	0	0	118.181	118.181	0	33	0	33	0	40	0.989744	0.00818848	0.989744	0	0.377621	309	309	309	0	309	0	0	0	0	118.181	118.181	0	
17	0	17	0	40	0.905128	0.0268554	0.905128	0	0.290674	51	51	51	0	51	0	0	0	0	14.8244	14.8244	0	17	0	17	0	40	0.905128	0.0268554	0.905128	0	0.286994	51	51	51	0	51	0	0	0	0	14.8244	14.8244	0	
39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.154444	3178	3178	3178	0	3178	0	0	0	0	490.822	490.822	0	39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.152489	3178	3178	3178	0	3178	0	0	0	0	490.822	490.822	0	
37	0	37	0	40	0.996154	0.00660028	0.996154	0	0.345497	2764	2764	2764	0	2764	0	0	0	0	954.954	954.954	0	37	0	37	0	40	0.996154	0.00660028	0.996154	0	0.341124	2764	2764	2764	0	2764	0	0	0	0	954.954	954.954	0	
40	0	40	0	40	1	0.00559017	1	0	0.210459	1040	1040	1040	0	1040	0	0	0	0	218.877	218.877	0	40	0	40	0	40	1	0.00559017	1	0	0.207795	1040	1040	1040	0	1040	0	0	0	0	218.877	218.877	0	
3	0	3	0	40	0.0987179	0.0638085	0.0987179	0	0.05	2	2	2	0	2	0	0	0	0	0.1	0.1	0	3	0	3	0	40	0.0987179	0.0638085	0.0987179	0	0.0493671	2	2	2	0	2	0	0	0	0	0.1	0.1	0	
20	0	20	0	40	0.942308	0.0180652	0.942308	0	0.103643	1717	1717	1717	0	1717	0	0	0	0	177.955	177.955	0	20	0	20	0	40	0.942308	0.0180652	0.942308	0	0.102331	1717	1717	1717	0	1717	0	0	0	0	177.955	177.955	0	
4	0	4	0	40	0.567949	0.047711	0.567949	0	0.216239	3	3	3	0	3	0	0	0	0	0.648718	0.648718	0	4	0	4	0	40	0.567949	0.047711	0.567949	0	0.213502	3	3	3	0	3	0	0	0	0	0.648718	0.648718	0	
