gr_K_1	gr_Ksd_1	gr_mean_K	gr_sd_K	gr_tot_K	gr_H_1	gr_Hsd_1	gr_mean_H	gr_sd_H	gr_tot_H	gr_S_1	gr_prS_1	gr_mean_S	gr_sd_S	gr_tot_S	gr_mean_D	gr_sd_D	mean_FS	sd_FS	gr_Pi_1	gr_mean_Pi	gr_sd_Pi	K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	mean_D	sd_D	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
40	0	40	0	40	1	0.00559017	1	0	0.171702	4894	4894	4894	0	4894	0	0	0	0	840.31	840.31	0	40	0	40	0	40	1	0.00559017	1	0	0.169529	4894	4894	4894	0	4894	0	0	0	0	840.31	840.31	0	
39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.312633	1223	1223	1223	0	1223	0	0	0	0	382.35	382.35	0	39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.308675	1223	1223	1223	0	1223	0	0	0	0	382.35	382.35	0	
30	0	30	0	40	0.984615	0.00906175	0.984615	0	0.223461	421	421	421	0	421	0	0	0	0	94.0769	94.0769	0	30	0	30	0	40	0.984615	0.00906175	0.984615	0	0.220632	421	421	421	0	421	0	0	0	0	94.0769	94.0769	0	
26	0	26	0	40	0.975641	0.0108237	0.975641	0	0.225025	104	104	104	0	104	0	0	0	0	23.4026	23.4026	0	26	0	26	0	40	0.975641	0.0108237	0.975641	0	0.222176	104	104	104	0	104	0	0	0	0	23.4026	23.4026	0	
9	0	9	0	40	0.776923	0.0526255	0.776923	0	0.207799	12	12	12	0	12	0	0	0	0	2.49359	2.49359	0	9	0	9	0	40	0.776923	0.0526255	0.776923	0	0.205169	12	12	12	0	12	0	0	0	0	2.49359	2.49359	0	
31	0	31	0	40	0.983333	0.0104991	0.983333	0	0.291975	316	316	316	0	316	0	0	0	0	92.2641	92.2641	0	31	0	31	0	40	0.983333	0.0104991	0.983333	0	0.288279	316	316	316	0	316	0	0	0	0	92.2641	92.2641	0	
39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.275415	3541	3541	3541	0	3541	0	0	0	0	975.244	975.244	0	39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.271928	3541	3541	3541	0	3541	0	0	0	0	975.244	975.244	0	
35	0	35	0	40	0.992308	0.00788895	0.992308	0	0.170441	480	480	480	0	480	0	0	0	0	81.8115	81.8115	0	35	0	35	0	40	0.992308	0.00788895	0.992308	0	0.168283	480	480	480	0	480	0	0	0	0	81.8115	81.8115	0	
40	0	40	0	40	1	0.00559017	1	0	0.277983	4027	4027	4027	0	4027	0	0	0	0	1119.44	1119.44	0	40	0	40	0	40	1	0.00559017	1	0	0.274464	4027	4027	4027	0	4027	0	0	0	0	1119.44	1119.44	0	
10	0	10	0	40	0.812821	0.0362027	0.812821	0	0.25735	15	15	15	0	15	0	0	0	0	3.86026	3.86026	0	10	0	10	0	40	0.812821	0.0362027	0.812821	0	0.254093	15	15	15	0	15	0	0	0	0	3.86026	3.86026	0	
40	0	40	0	40	1	0.00559017	1	0	0.181617	1909	1909	1909	0	1909	0	0	0	0	346.708	346.708	0	40	0	40	0	40	1	0.00559017	1	0	0.179318	1909	1909	1909	0	1909	0	0	0	0	346.708	346.708	0	
13	0	13	0	40	0.80641	0.0431577	0.80641	0	0.168091	18	18	18	0	18	0	0	0	0	3.02564	3.02564	0	13	0	13	0	40	0.80641	0.0431577	0.80641	0	0.165963	18	18	18	0	18	0	0	0	0	3.02564	3.02564	0	
5	0	5	0	40	0.488462	0.0862647	0.488462	0	0.119231	5	5	5	0	5	0	0	0	0	0.596154	0.596154	0	5	0	5	0	40	0.488462	0.0862647	0.488462	0	0.117722	5	5	5	0	5	0	0	0	0	0.596154	0.596154	0	
16	0	16	0	40	0.902564	0.0284948	0.902564	0	0.299487	50	50	50	0	50	0	0	0	0	14.9744	14.9744	0	16	0	16	0	40	0.902564	0.0284948	0.902564	0	0.295696	50	50	50	0	50	0	0	0	0	14.9744	14.9744	0	
40	0	40	0	40	1	0.00559017	1	0	0.210957	2636	2636	2636	0	2636	0	0	0	0	556.082	556.082	0	40	0	40	0	40	1	0.00559017	1	0	0.208286	2636	2636	2636	0	2636	0	0	0	0	556.082	556.082	0	
35	0	35	0	40	0.99359	0.00708734	0.99359	0	0.096768	2693	2693	2693	0	2693	0	0	0	0	260.596	260.596	0	35	0	35	0	40	0.99359	0.00708734	0.99359	0	0.0955431	2693	2693	2693	0	2693	0	0	0	0	260.596	260.596	0	
39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.217299	1905	1905	1905	0	1905	0	0	0	0	413.954	413.954	0	39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.214548	1905	1905	1905	0	1905	0	0	0	0	413.954	413.954	0	
21	0	21	0	40	0.946154	0.0175281	0.946154	0	0.253317	46	46	46	0	46	0	0	0	0	11.6526	11.6526	0	21	0	21	0	40	0.946154	0.0175281	0.946154	0	0.25011	46	46	46	0	46	0	0	0	0	11.6526	11.6526	0	
39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.268883	5321	5321	5321	0	5321	0	0	0	0	1430.73	1430.73	0	39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.26548	5321	5321	5321	0	5321	0	0	0	0	1430.73	1430.73	0	
