gr_K_1	gr_Ksd_1	gr_mean_K	gr_sd_K	gr_tot_K	gr_H_1	gr_Hsd_1	gr_mean_H	gr_sd_H	gr_tot_H	gr_S_1	gr_prS_1	gr_mean_S	gr_sd_S	gr_tot_S	gr_mean_D	gr_sd_D	mean_FS	sd_FS	gr_Pi_1	gr_mean_Pi	gr_sd_Pi	K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	mean_D	sd_D	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
24	0	24	0	40	0.970513	0.0124572	0.970513	0	0.18039	115	115	115	0	115	0	0	0	0	20.7449	20.7449	0	24	0	24	0	40	0.970513	0.0124572	0.970513	0	0.178107	115	115	115	0	115	0	0	0	0	20.7449	20.7449	0	
26	0	26	0	40	0.975641	0.0108237	0.975641	0	0.157598	990	990	990	0	990	0	0	0	0	156.022	156.022	0	26	0	26	0	40	0.975641	0.0108237	0.975641	0	0.155603	990	990	990	0	990	0	0	0	0	156.022	156.022	0	
24	0	24	0	40	0.970513	0.011701	0.970513	0	0.206371	492	492	492	0	492	0	0	0	0	101.535	101.535	0	24	0	24	0	40	0.970513	0.011701	0.970513	0	0.203759	492	492	492	0	492	0	0	0	0	101.535	101.535	0	
40	0	40	0	40	1	0.00559017	1	0	0.118408	720	720	720	0	720	0	0	0	0	85.2538	85.2538	0	40	0	40	0	40	1	0.00559017	1	0	0.116909	720	720	720	0	720	0	0	0	0	85.2538	85.2538	0	
22	0	22	0	40	0.955128	0.0163419	0.955128	0	0.1687	215	215	215	0	215	0	0	0	0	36.2705	36.2705	0	22	0	22	0	40	0.955128	0.0163419	0.955128	0	0.166565	215	215	215	0	215	0	0	0	0	36.2705	36.2705	0	
35	0	35	0	40	0.99359	0.00708734	0.99359	0	0.161179	471	471	471	0	471	0	0	0	0	75.9154	75.9154	0	35	0	35	0	40	0.99359	0.00708734	0.99359	0	0.159139	471	471	471	0	471	0	0	0	0	75.9154	75.9154	0	
12	0	12	0	40	0.897436	0.0265814	0.897436	0	0.257242	566	566	566	0	566	0	0	0	0	145.599	145.599	0	12	0	12	0	40	0.897436	0.0265814	0.897436	0	0.253985	566	566	566	0	566	0	0	0	0	145.599	145.599	0	
7	0	7	0	40	0.798718	0.0373476	0.798718	0	0.277017	41	41	41	0	41	0	0	0	0	11.3577	11.3577	0	7	0	7	0	40	0.798718	0.0373476	0.798718	0	0.27351	41	41	41	0	41	0	0	0	0	11.3577	11.3577	0	
3	0	3	0	40	0.405128	0.0808693	0.405128	0	0.288889	9	9	9	0	9	0	0	0	0	2.6	2.6	0	3	0	3	0	40	0.405128	0.0808693	0.405128	0	0.285232	9	9	9	0	9	0	0	0	0	2.6	2.6	0	
23	0	23	0	40	0.964103	0.0151668	0.964103	0	0.282187	349	349	349	0	349	0	0	0	0	98.4833	98.4833	0	23	0	23	0	40	0.964103	0.0151668	0.964103	0	0.278615	349	349	349	0	349	0	0	0	0	98.4833	98.4833	0	
19	0	19	0	40	0.955128	0.0132556	0.955128	0	0.192913	144	144	144	0	144	0	0	0	0	27.7795	27.7795	0	19	0	19	0	40	0.955128	0.0132556	0.955128	0	0.190471	144	144	144	0	144	0	0	0	0	27.7795	27.7795	0	
12	0	12	0	40	0.926923	0.0138695	0.926923	0	0.265611	119	119	119	0	119	0	0	0	0	31.6077	31.6077	0	12	0	12	0	40	0.926923	0.0138695	0.926923	0	0.262249	119	119	119	0	119	0	0	0	0	31.6077	31.6077	0	
37	0	37	0	40	0.996154	0.00660028	0.996154	0	0.249764	1009	1009	1009	0	1009	0	0	0	0	252.012	252.012	0	37	0	37	0	40	0.996154	0.00660028	0.996154	0	0.246602	1009	1009	1009	0	1009	0	0	0	0	252.012	252.012	0	
31	0	31	0	40	0.987179	0.00840434	0.987179	0	0.156082	289	289	289	0	289	0	0	0	0	45.1077	45.1077	0	31	0	31	0	40	0.987179	0.00840434	0.987179	0	0.154106	289	289	289	0	289	0	0	0	0	45.1077	45.1077	0	
31	0	31	0	40	0.980769	0.012506	0.980769	0	0.143826	390	390	390	0	390	0	0	0	0	56.0923	56.0923	0	31	0	31	0	40	0.980769	0.012506	0.980769	0	0.142006	390	390	390	0	390	0	0	0	0	56.0923	56.0923	0	
39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.126962	879	879	879	0	879	0	0	0	0	111.6	111.6	0	39	0	39	0	40	0.998718	0.00597186	0.998718	0	0.125355	879	879	879	0	879	0	0	0	0	111.6	111.6	0	
4	0	4	0	40	0.585897	0.0600852	0.585897	0	0.38685	35	35	35	0	35	0	0	0	0	13.5397	13.5397	0	4	0	4	0	40	0.585897	0.0600852	0.585897	0	0.381953	35	35	35	0	35	0	0	0	0	13.5397	13.5397	0	
7	0	7	0	40	0.860256	0.0205651	0.860256	0	0.467822	101	101	101	0	101	0	0	0	0	47.25	47.25	0	7	0	7	0	40	0.860256	0.0205651	0.860256	0	0.4619	101	101	101	0	101	0	0	0	0	47.25	47.25	0	
38	0	38	0	40	0.997436	0.00630616	0.997436	0	0.100807	534	534	534	0	534	0	0	0	0	53.8308	53.8308	0	38	0	38	0	40	0.997436	0.00630616	0.997436	0	0.0995306	534	534	534	0	534	0	0	0	0	53.8308	53.8308	0	
4	0	4	0	40	0.567949	0.074964	0.567949	0	0.260165	28	28	28	0	28	0	0	0	0	7.28462	7.28462	0	4	0	4	0	40	0.567949	0.074964	0.567949	0	0.256872	28	28	28	0	28	0	0	0	0	7.28462	7.28462	0	
1	0	1	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	0	32	0	40	0.985897	0.0099682	0.985897	0	0.18445	1880	1880	1880	0	1880	0	0	0	0	346.765	346.765	0	32	0	32	0	40	0.985897	0.0099682	0.985897	0	0.182115	1880	1880	1880	0	1880	0	0	0	0	346.765	346.765	0	
25	0	25	0	40	0.973077	0.0110943	0.973077	0	0.242095	247	247	247	0	247	0	0	0	0	59.7974	59.7974	0	25	0	25	0	40	0.973077	0.0110943	0.973077	0	0.23903	247	247	247	0	247	0	0	0	0	59.7974	59.7974	0	
5	0	5	0	40	0.767949	0.0313685	0.767949	0	0.404487	8	8	8	0	8	0	0	0	0	3.2359	3.2359	0	5	0	5	0	40	0.767949	0.0313685	0.767949	0	0.399367	8	8	8	0	8	0	0	0	0	3.2359	3.2359	0	
8	0	8	0	40	0.855128	0.0260526	0.855128	0	0.33777	63	63	63	0	63	0	0	0	0	21.2795	21.2795	0	8	0	8	0	40	0.855128	0.0260526	0.855128	0	0.333494	63	63	63	0	63	0	0	0	0	21.2795	21.2795	0	
3	0	3	0	40	0.488462	0.071564	0.488462	0	0.252308	5	5	5	0	5	0	0	0	0	1.26154	1.26154	0	3	0	3	0	40	0.488462	0.071564	0.488462	0	0.249114	5	5	5	0	5	0	0	0	0	1.26154	1.26154	0	
40	0	40	0	40	1	0.00559017	1	0	0.106246	771	771	771	0	771	0	0	0	0	81.9154	81.9154	0	40	0	40	0	40	1	0.00559017	1	0	0.104901	771	771	771	0	771	0	0	0	0	81.9154	81.9154	0	
5	0	5	0	40	0.767949	0.0369815	0.767949	0	0.212718	289	289	289	0	289	0	0	0	0	61.4756	61.4756	0	5	0	5	0	40	0.767949	0.0369815	0.767949	0	0.210026	289	289	289	0	289	0	0	0	0	61.4756	61.4756	0	
11	0	11	0	40	0.888462	0.0234327	0.888462	0	0.277415	99	99	99	0	99	0	0	0	0	27.4641	27.4641	0	11	0	11	0	40	0.888462	0.0234327	0.888462	0	0.273904	99	99	99	0	99	0	0	0	0	27.4641	27.4641	0	
4	0	4	0	40	0.665385	0.0355858	0.665385	0	0.217827	21	21	21	0	21	0	0	0	0	4.57436	4.57436	0	4	0	4	0	40	0.665385	0.0355858	0.665385	0	0.215069	21	21	21	0	21	0	0	0	0	4.57436	4.57436	0	
